CustomerID,Age,Tenure_Months,ContractType,InternetService,TechSupport,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportCalls,Churn
CUST2332,50.0,47,Month-to-month,DSL,Yes,Bank transfer,78.09,3636.82,2,No
CUST2164,42.0,70,Month-to-month,Fiber optic,Yes,Credit card,41.72,2852.3,5,No
CUST2315,55.0,64,Month-to-month,DSL,Yes,Mailed check,70.03,4416.31,2,No
CUST2414,64.0,16,One year,Fiber optic,Yes,Mailed check,94.82,1446.2,3,No
CUST1611,53.0,57,Two year,DSL,Yes,Bank transfer,48.07,2756.13,2,Yes
CUST1034,33.0,40,Month-to-month,Fiber optic,Yes,Bank transfer,62.54,2534.83,1,Yes
CUST1830,48.0,63,One year,DSL,No,Mailed check,97.53,6154.3,3,Yes
CUST2826,57.0,67,Two year,DSL,No,Credit card,69.89,4664.2,2,No
CUST1360,51.0,38,One year,DSL,Yes,Credit card,120.24,4598.51,3,Yes
CUST2049,23.0,65,Month-to-month,Fiber optic,No,Electronic check,79.59,5310.61,1,No
CUST2648,59.0,52,Two year,Fiber optic,No,Electronic check,49.23,2563.83,2,No
CUST2899,21.0,50,Two year,Fiber optic,Yes,Credit card,79.01,3950.84,0,No
CUST1595,67.0,28,One year,Fiber optic,,Bank transfer,40.74,1178.31,3,No
CUST2278,66.0,61,One year,Fiber optic,Yes,Mailed check,84.08,5147.24,3,No
CUST1590,51.0,25,Month-to-month,No,No,Credit card,80.32,2031.24,3,Yes
CUST1653,29.0,7,One year,Fiber optic,Yes,Bank transfer,94.11,777.19,1,Yes
CUST1915,60.0,1,Two year,Fiber optic,No,Electronic check,80.49,131.94,1,Yes
CUST1769,45.0,56,Month-to-month,DSL,Yes,Mailed check,57.97,3256.58,5,No
CUST1452,66.0,29,One year,Fiber optic,Yes,Electronic check,58.92,1595.29,3,No
CUST2816,34.0,0,One year,No,Yes,Credit card,61.85,1.16,1,Yes
CUST1587,43.0,20,Two year,Fiber optic,No,Mailed check,71.17,1444.15,1,No
CUST1007,56.0,45,Month-to-month,Fiber optic,Yes,Credit card,133.41,6059.11,0,Yes
CUST2766,52.0,40,Two year,DSL,No,Bank transfer,60.86,2500.12,1,No
CUST1705,53.0,12,Month-to-month,DSL,Yes,Credit card,101.21,1163.73,1,No
CUST2318,35.0,19,Month-to-month,Fiber optic,Yes,Bank transfer,103.44,2024.28,1,Yes
CUST2353,18.0,29,Month-to-month,No,No,Bank transfer,51.8,1538.74,0,Yes
CUST1020,61.0,63,Month-to-month,Fiber optic,No,Electronic check,36.39,2346.26,0,Yes
CUST2153,52.0,25,Two year,Fiber optic,No,Electronic check,47.61,1203.66,3,No
CUST2190,23.0,55,Month-to-month,DSL,Yes,Bank transfer,60.56,3358.27,3,No
CUST2075,47.0,5,Month-to-month,DSL,No,Credit card,59.64,286.64,3,Yes
CUST1206,68.0,49,Month-to-month,Fiber optic,No,Electronic check,56.61,2805.44,3,Yes
CUST1816,44.0,15,Two year,DSL,No,Credit card,89.38,1413.02,2,Yes
CUST1415,57.0,7,Month-to-month,No,Yes,Electronic check,96.62,556.58,0,Yes
CUST2625,34.0,55,Month-to-month,Fiber optic,No,Credit card,57.83,3110.11,3,No
CUST1927,21.0,63,Month-to-month,Fiber optic,No,Credit card,56.23,3531.49,2,Yes
CUST1720,45.0,18,Two year,Fiber optic,No,Credit card,84.92,1585.89,2,No
CUST2631,31.0,35,Month-to-month,DSL,No,Credit card,53.63,1872.41,2,Yes
CUST1731,42.0,4,Month-to-month,DSL,No,Credit card,92.81,382.71,2,Yes
CUST1217,66.0,28,Month-to-month,DSL,No,Bank transfer,93.04,2557.68,5,Yes
CUST1419,65.0,43,Month-to-month,Fiber optic,No,Bank transfer,82.46,3520.71,3,Yes
CUST2251,55.0,40,Month-to-month,Fiber optic,No,Electronic check,104.62,4244.96,1,Yes
CUST1986,62.0,47,Month-to-month,DSL,Yes,Mailed check,79.75,3739.44,1,Yes
CUST2635,68.0,69,Two year,Fiber optic,No,Mailed check,87.54,6066.36,1,No
CUST1921,40.0,38,One year,DSL,Yes,Credit card,41.98,1665.39,3,No
CUST1970,53.0,14,One year,DSL,Yes,Electronic check,58.2,782.8,5,No
CUST2312,42.0,67,Month-to-month,DSL,No,Mailed check,53.29,3664.65,2,No
CUST2717,42.0,70,Month-to-month,No,No,Electronic check,86.05,6104.01,3,Yes
CUST2564,51.0,7,Two year,Fiber optic,Yes,Electronic check,74.19,585.53,3,Yes
CUST2846,44.0,25,Month-to-month,No,Yes,Mailed check,64.13,1622.85,2,No
CUST1797,64.0,47,One year,Fiber optic,No,Credit card,32.56,1477.76,1,No
CUST2260,43.0,50,One year,Fiber optic,Yes,Electronic check,50.91,2548.8,2,No
CUST2794,26.0,43,Two year,DSL,No,Electronic check,42.32,1842.15,2,No
CUST1528,56.0,17,Month-to-month,Fiber optic,No,Electronic check,83.11,1448.91,5,Yes
CUST2753,66.0,61,Month-to-month,DSL,No,Electronic check,53.68,3301.81,3,No
CUST1051,67.0,45,One year,Fiber optic,No,Electronic check,61.51,2778.35,4,Yes
CUST1036,64.0,45,Two year,DSL,Yes,Credit card,71.36,3188.25,4,Yes
CUST2046,39.0,32,Month-to-month,Fiber optic,No,Credit card,78.6,2493.08,3,Yes
CUST2280,48.0,24,Month-to-month,Fiber optic,No,Bank transfer,74.93,1763.91,2,No
CUST2483,62.0,0,Month-to-month,Fiber optic,No,Mailed check,97.98,50.79,2,Yes
CUST1562,68.0,62,Month-to-month,No,Yes,Electronic check,65.53,4061.6,2,Yes
CUST1396,35.0,31,One year,Fiber optic,Yes,Credit card,82.92,2589.42,6,Yes
CUST2647,35.0,9,Two year,DSL,No,Credit card,38.75,286.88,4,Yes
CUST2125,28.0,47,Month-to-month,Fiber optic,Yes,Electronic check,29.24,1418.69,3,No
CUST1751,58.0,19,Month-to-month,No,No,Credit card,98.76,1886.09,2,Yes
CUST2138,26.0,32,Two year,No,No,Electronic check,65.43,2128.29,2,Yes
CUST2317,24.0,46,Two year,Fiber optic,Yes,Bank transfer,107.73,4946.6,5,Yes
CUST1350,39.0,71,One year,DSL,,Electronic check,39.87,2868.66,0,Yes
CUST2025,53.0,29,Month-to-month,DSL,No,Mailed check,85.89,2442.18,1,No
CUST2904,21.0,40,One year,No,Yes,Bank transfer,106.15,4286.93,1,No
CUST1525,43.0,12,Month-to-month,Fiber optic,No,Bank transfer,37.08,445.21,5,Yes
CUST1820,51.0,49,One year,No,No,Bank transfer,56.01,2786.12,3,Yes
CUST1441,32.0,11,Month-to-month,DSL,No,Mailed check,107.24,1080.05,3,Yes
CUST1146,43.0,69,Month-to-month,DSL,Yes,Credit card,69.05,4840.68,4,No
CUST2618,62.0,12,Month-to-month,Fiber optic,No,Credit card,61.02,739.21,1,Yes
CUST1946,38.0,24,Month-to-month,Fiber optic,Yes,Bank transfer,52.62,1289.91,0,Yes
CUST1863,29.0,69,Month-to-month,DSL,No,Electronic check,91.52,6348.25,1,Yes
CUST1237,19.0,52,One year,DSL,No,Electronic check,106.93,5558.47,4,Yes
CUST2872,30.0,62,Two year,Fiber optic,Yes,Mailed check,52.55,3205.42,2,No
CUST1561,,62,Month-to-month,Fiber optic,No,Mailed check,79.86,4955.46,3,No
CUST1669,46.0,52,One year,DSL,No,Mailed check,58.24,3096.7,2,No
CUST1928,57.0,62,Month-to-month,DSL,Yes,Electronic check,43.93,2668.2,2,No
CUST2715,35.0,16,Month-to-month,Fiber optic,No,Electronic check,63.85,1009.02,2,Yes
CUST2640,46.0,53,Two year,DSL,No,Bank transfer,88.28,4550.93,4,Yes
CUST1754,32.0,55,One year,DSL,No,Bank transfer,58.02,3190.32,3,No
CUST2968,37.0,42,Two year,Fiber optic,No,Bank transfer,62.24,2581.56,2,No
CUST2323,60.0,34,Month-to-month,DSL,No,Mailed check,42.84,1424.46,2,No
CUST2446,18.0,60,Month-to-month,Fiber optic,Yes,Credit card,18.0,1102.01,1,Yes
CUST1500,33.0,9,Month-to-month,DSL,No,Electronic check,28.94,338.25,0,Yes
CUST1438,29.0,29,One year,No,No,Electronic check,73.41,2155.48,3,No
CUST2934,40.0,47,Month-to-month,Fiber optic,No,Mailed check,66.98,3065.81,3,Yes
CUST1663,56.0,9,Two year,Fiber optic,No,Electronic check,75.81,693.81,0,Yes
CUST2976,51.0,58,Month-to-month,Fiber optic,Yes,Electronic check,78.15,4559.81,0,Yes
CUST1725,56.0,24,One year,DSL,No,Bank transfer,68.75,1565.9,6,Yes
CUST2287,39.0,17,Month-to-month,Fiber optic,No,Electronic check,81.3,1430.52,1,Yes
CUST1262,37.0,14,One year,Fiber optic,Yes,Credit card,52.1,744.88,1,No
CUST1141,64.0,40,Two year,DSL,No,Credit card,37.65,1439.78,5,No
CUST1351,63.0,23,One year,No,Yes,Credit card,45.24,1026.83,2,No
CUST1367,22.0,48,One year,No,No,Electronic check,85.66,4146.84,2,No
CUST2861,48.0,18,One year,DSL,No,Bank transfer,127.41,2299.51,5,Yes
CUST1311,41.0,28,Two year,DSL,No,Electronic check,41.32,,3,Yes
CUST2127,41.0,11,Month-to-month,DSL,No,Mailed check,75.8,757.45,3,No
CUST2985,33.0,12,One year,Fiber optic,No,Credit card,88.83,1039.56,3,No
CUST1454,59.0,69,One year,No,No,Bank transfer,58.84,4068.87,1,Yes
CUST2293,38.0,31,One year,Fiber optic,No,Bank transfer,117.81,3714.4,0,Yes
CUST2683,47.0,6,Two year,DSL,No,Electronic check,63.44,375.53,1,Yes
CUST2634,26.0,27,Month-to-month,DSL,No,Electronic check,19.98,554.05,2,Yes
CUST2172,68.0,54,Two year,DSL,No,Electronic check,32.32,1792.23,0,No
CUST1341,25.0,12,Month-to-month,No,Yes,Electronic check,64.74,874.3,2,Yes
CUST1683,57.0,21,Two year,DSL,Yes,Bank transfer,83.72,1685.95,3,No
CUST1961,43.0,11,One year,DSL,Yes,Bank transfer,46.14,540.54,0,No
CUST2791,51.0,42,Month-to-month,DSL,Yes,Electronic check,67.82,2802.26,1,Yes
CUST1855,45.0,29,Two year,Fiber optic,No,Bank transfer,18.0,369.77,3,No
CUST2417,52.0,47,Month-to-month,No,No,Mailed check,108.61,5019.83,2,Yes
CUST1179,59.0,55,Two year,No,Yes,Credit card,62.04,3436.82,2,No
CUST1977,64.0,6,Month-to-month,Fiber optic,No,Electronic check,60.08,393.15,2,Yes
CUST1806,18.0,32,Month-to-month,Fiber optic,Yes,Electronic check,56.42,1882.36,3,Yes
CUST1397,42.0,38,Two year,DSL,No,Mailed check,48.32,1817.79,1,Yes
CUST2313,43.0,36,One year,Fiber optic,Yes,Electronic check,35.12,1232.62,1,No
CUST1340,37.0,46,Month-to-month,Fiber optic,No,Electronic check,42.09,2010.0,2,Yes
CUST1596,62.0,37,Month-to-month,DSL,Yes,Electronic check,109.31,4019.91,1,Yes
CUST2133,22.0,68,One year,Fiber optic,No,Mailed check,55.38,3750.85,4,Yes
CUST2949,28.0,56,Month-to-month,DSL,No,Bank transfer,33.5,1830.11,1,No
CUST1479,47.0,59,One year,No,Yes,Mailed check,67.82,3913.02,1,No
CUST1804,22.0,56,Month-to-month,Fiber optic,No,Mailed check,35.2,2039.21,0,Yes
CUST1729,45.0,71,Two year,Fiber optic,No,Credit card,38.07,2794.17,3,No
CUST2027,39.0,27,Month-to-month,No,No,Credit card,57.27,1533.47,2,Yes
CUST1071,59.0,21,Month-to-month,DSL,No,Mailed check,55.96,1177.87,1,Yes
CUST2169,57.0,66,Month-to-month,Fiber optic,Yes,Mailed check,61.27,4053.01,2,Yes
CUST2733,63.0,59,Month-to-month,DSL,No,Credit card,118.04,7014.62,3,Yes
CUST2723,32.0,10,Month-to-month,DSL,No,Electronic check,44.37,440.53,3,Yes
CUST1308,37.0,67,Month-to-month,No,No,Electronic check,45.04,3030.73,2,No
CUST1571,60.0,61,Two year,Fiber optic,No,Credit card,80.01,4909.28,2,No
CUST2888,24.0,56,One year,Fiber optic,Yes,Mailed check,42.76,2352.47,4,No
CUST1298,22.0,14,Two year,DSL,Yes,Credit card,50.18,725.24,3,No
CUST1200,23.0,49,One year,DSL,No,Bank transfer,64.99,3154.37,3,No
CUST2905,44.0,68,Month-to-month,Fiber optic,Yes,Mailed check,65.16,4476.59,6,No
CUST2509,55.0,65,Month-to-month,DSL,No,Credit card,98.04,6408.49,1,Yes
CUST2122,26.0,54,Two year,Fiber optic,Yes,Bank transfer,92.19,4944.02,1,No
CUST2741,21.0,53,Month-to-month,Fiber optic,Yes,Mailed check,18.0,1038.0,3,No
CUST2334,46.0,64,Month-to-month,Fiber optic,Yes,Mailed check,67.0,4283.99,2,Yes
CUST1504,46.0,53,Two year,DSL,No,Mailed check,80.65,4248.49,5,No
CUST1779,58.0,3,Month-to-month,DSL,No,Bank transfer,83.66,302.71,1,Yes
CUST1620,29.0,16,Month-to-month,Fiber optic,Yes,Mailed check,64.78,1062.65,3,Yes
CUST2600,41.0,23,One year,Fiber optic,No,Electronic check,83.46,1906.64,3,Yes
CUST2139,51.0,60,Two year,Fiber optic,Yes,Bank transfer,93.99,5727.28,2,No
CUST2020,20.0,43,Month-to-month,No,No,Electronic check,76.19,3383.53,5,Yes
CUST1116,50.0,48,Month-to-month,DSL,Yes,Credit card,51.42,2392.28,2,No
CUST2671,42.0,27,Month-to-month,Fiber optic,Yes,Credit card,33.97,975.92,5,Yes
CUST2779,21.0,5,Month-to-month,Fiber optic,Yes,Credit card,102.99,559.09,0,Yes
CUST1004,60.0,59,Month-to-month,Fiber optic,Yes,Credit card,89.54,5369.33,2,No
CUST1651,22.0,9,One year,Fiber optic,No,Credit card,80.06,761.34,2,Yes
CUST1046,56.0,32,One year,Fiber optic,No,Credit card,76.73,2469.13,1,Yes
CUST1328,35.0,55,Month-to-month,DSL,Yes,Credit card,111.9,6136.67,3,No
CUST1278,18.0,47,Two year,DSL,Yes,Mailed check,107.74,5009.73,2,No
CUST1455,23.0,21,Two year,No,Yes,Bank transfer,40.86,850.06,2,No
CUST1447,39.0,15,Two year,Fiber optic,No,Mailed check,65.54,997.94,2,Yes
CUST2435,24.0,71,Month-to-month,No,No,Electronic check,54.47,3858.33,1,No
CUST2488,60.0,22,One year,Fiber optic,No,Bank transfer,35.64,881.58,1,Yes
CUST2610,25.0,16,Two year,Fiber optic,No,Mailed check,93.6,1402.27,0,Yes
CUST1744,54.0,35,One year,Fiber optic,Yes,Credit card,87.4,3062.86,1,No
CUST2077,68.0,58,Two year,Fiber optic,No,Bank transfer,61.17,3586.43,1,No
CUST1572,61.0,20,Month-to-month,Fiber optic,Yes,Mailed check,63.71,1289.51,0,Yes
CUST1474,69.0,5,One year,No,No,Mailed check,66.35,269.88,2,No
CUST1194,44.0,32,Month-to-month,Fiber optic,No,Mailed check,18.0,,1,Yes
CUST2796,57.0,36,Month-to-month,DSL,No,Mailed check,77.02,2780.97,2,No
CUST1789,46.0,62,One year,DSL,No,Credit card,90.42,5622.25,0,No
CUST2520,51.0,52,One year,Fiber optic,Yes,Bank transfer,84.16,4327.71,3,No
CUST2907,29.0,57,Month-to-month,DSL,Yes,Electronic check,40.42,2288.25,2,No
CUST1375,45.0,70,One year,Fiber optic,No,Credit card,51.33,3606.55,2,No
CUST1737,49.0,20,Month-to-month,Fiber optic,No,Bank transfer,53.43,1002.66,5,Yes
CUST2793,59.0,58,Two year,No,No,Credit card,44.78,2631.55,2,No
CUST1392,,45,One year,Fiber optic,No,Mailed check,55.34,2587.13,1,Yes
CUST1869,34.0,67,Month-to-month,DSL,Yes,Mailed check,82.94,5506.86,0,No
CUST1431,62.0,57,Month-to-month,No,No,Electronic check,67.7,3816.15,0,No
CUST1325,46.0,30,Month-to-month,Fiber optic,Yes,Electronic check,44.82,1360.31,2,Yes
CUST1410,44.0,4,Two year,DSL,Yes,Bank transfer,87.37,373.3,3,No
CUST1868,47.0,20,One year,Fiber optic,No,Credit card,72.5,,1,Yes
CUST1109,41.0,19,Month-to-month,DSL,No,Mailed check,73.63,1436.44,1,No
CUST1800,27.0,54,One year,DSL,Yes,Bank transfer,63.38,3495.29,4,No
CUST2586,47.0,50,Month-to-month,Fiber optic,Yes,Credit card,53.43,2728.97,1,No
CUST1860,51.0,9,Two year,Fiber optic,No,Mailed check,76.02,786.73,3,No
CUST1470,47.0,22,Month-to-month,No,No,Bank transfer,60.29,1344.59,3,No
CUST2701,47.0,66,Month-to-month,No,No,Bank transfer,59.74,4013.84,1,No
CUST2539,38.0,71,One year,DSL,No,Bank transfer,75.65,5402.63,1,No
CUST2808,35.0,66,Month-to-month,DSL,Yes,Credit card,55.3,3606.4,4,No
CUST1095,42.0,55,One year,Fiber optic,Yes,Bank transfer,62.55,3484.24,7,No
CUST1593,24.0,51,Two year,No,No,Credit card,67.63,3423.07,2,No
CUST1861,20.0,15,Month-to-month,DSL,No,Electronic check,61.17,917.12,1,No
CUST1019,41.0,10,One year,DSL,No,Electronic check,94.17,949.47,2,No
CUST2555,64.0,11,Month-to-month,DSL,Yes,Credit card,93.07,922.1,2,Yes
CUST2038,23.0,22,Two year,DSL,No,Credit card,85.83,1901.08,0,No
CUST2867,46.0,0,Month-to-month,Fiber optic,No,Electronic check,37.82,52.29,1,No
CUST2897,46.0,60,Month-to-month,Fiber optic,Yes,Bank transfer,70.96,4274.92,2,No
CUST2266,64.0,1,One year,No,Yes,Mailed check,64.27,31.76,1,Yes
CUST1353,55.0,25,Month-to-month,DSL,Yes,Electronic check,58.9,1436.7,2,Yes
CUST2832,,9,One year,Fiber optic,Yes,Credit card,61.39,577.54,1,Yes
CUST1372,66.0,36,Month-to-month,Fiber optic,,Credit card,56.91,2001.89,0,No
CUST2775,30.0,17,Month-to-month,Fiber optic,No,Mailed check,73.68,1284.23,3,No
CUST1222,20.0,54,Two year,No,No,Bank transfer,101.81,5507.91,1,No
CUST2295,63.0,66,Month-to-month,Fiber optic,Yes,Credit card,61.84,4098.37,0,Yes
